Title,Body,Labels,Milestone,Assignees
Snapshot & Architektur-Report einchecken,Den Architektur-Report (architecture_review_rechnungsprogramm.md) ins Repo aufnehmen und im README verlinken.,"planning,documentation",,
Entry-Point `start.py` implementieren,"Startdatei mit GUI-Init, Logging-Setup und Icon-Ladung. Ziel: Doppelklick-startfähig.","implementation,gui",,
Zentrales Config-System einführen,"Konfiguration (YAML/JSON) für Pfade, Exportoptionen, App-Infos. Zugriff über config-Helper.","refactor,config",,
Logging zentralisieren,"Singleton-Logger in utils mit RotatingFileHandler, Log-Ordner prüfen/erstellen, Format vereinheitlichen.","quality,observability",,
Services-Schicht extrahieren,"Rechnungslogik, Validierung, Export-Aufrufe in `services/` kapseln. GUI ruft nur Services auf.","refactor,architecture",,
Model-Validierungen ergänzen,"Type Hints, Dataclasses/Pydantic prüfen, Validierungsfunktionen für Kunde/Position/Rechnung.","quality,models",,
PDF-Export konsolidieren,"Pfad-/Font-Handling vereinheitlichen, Fehlerbehandlung verbessern, Tests mit Beispiel-PDFs.","export,pdf",,
CSV/XML-Export testen & härten,"Kantenfälle (Sonderzeichen, Dezimaltrennzeichen, Encoding) abdecken, Roundtrip-Tests.","export,testing",,
GUI-Start & Navigationsflow vereinheitlichen,"Main-Window, Menüs, Statusbar, konsistente Dialoge/Fehlermeldungen. Icon & About-Dialog.","gui,ux",,
GUI-Einstellungen persistieren,User-Settings (z. B. letzte Pfade) speichern/laden (JSON/YAML).,"gui,feature",,
Persistenz verbessern (SQLite-Option prüfen),JSON/Plaintext durch SQLite oder Abstraktionsschicht ergänzen; Migrationspfad definieren.,"data,design",,
Tests erweitern (pytest),Unit-Tests für Kernlogik; Fixtures für Beispielkunden/-rechnungen; Coverage-Metrik.,"testing,ci",,
"Linting & Typen (ruff, mypy)","PEP8-Style, Importordnung, Typprüfungen integrieren. pre-commit-Setup.","quality,ci",,
Desktop-Build mit PyInstaller,Build-Skript: `pyinstaller --onefile --windowed --icon=assets/icon.ico start.py`. README ergänzen.,"packaging,release",,
